RowId,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Top Review Image Url,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended,Id
0,Aeromexico,5.0,"""Return flight had problems""",2025-03-30,True,"   I booked London - Mexico City - London Business Class tickets. Outgoing flight gave us access to the Virgin lounge at Heathrow and it was excellent. Return flight had problems: could not check in or select meal on-line using iPad (their website only works on Microsoft). Though in transit, I had to go through immigration, baggage reclaim and security before handing back my luggage to be loaded on the flight home. Refused admittance to their Heineken lounge because I presented more than 3 hours early (just arrived on their flight from Cuba) Lounge was noisy, cramped and spartan when I did get in. But flight was good.",,Boeing 787,Solo Leisure,Business Class,Mexico City to London,2025-03-01,5.0,4.0,3.0,1.0,2.0,,3,no,4e952d699faaee61d9e384f8d7e5513a4753a56b599f20906a0c8a91b4637e59
1,Aeromexico,1.0,"""Very disappointed""",2025-03-29,True,"   Flew from Mexico City to Toronto March 2025 , had very uncomfortable seating and was charged an Exorbitant amount to transport my golf clubs home ($190). My flight to my winter destination, the charge by WestJet was $75 for my golf clubs. During my flight I had requested an alcoholic beverage and was told they didn’t have any. Upon arrival in Toronto my golf club travel bag was basically destroyed. Very disappointed.",,,Couple Leisure,Economy Class,Mexico city to Toronto,2025-03-01,1.0,3.0,1.0,5.0,3.0,,2,no,934ea944bc1c31893a3eb34b6e9a6a742b254df8c35262b2aa62647563c35f18
2,Air Canada rouge,10.0,"""showing if the bathroom is occupied""",2025-03-29,False,"  Flight was awesome. Staff was awesome. My issue is the fact that Air Canada doesn't notify people that there is a light showing if the bathroom is occupied or not. Green if available, red if occupied. The stewardess had to keep returning people to their seats as they kept lining up and blocking the aisle. A simple glance can tell you if there is someone already in the bathroom. In the business section they keep the curtain closed. You might think no one is using the bathroom but it could be the pilot or co-pilot, but a simple glance up will show you that it is available or not.",https://www.airlinequality.com/wp-content/uploads/2025/03/20250327_194908-1-500x500.jpg,,Couple Leisure,Economy Class,Toronto to Dominican Republic,2025-03-01,5.0,5.0,5.0,5.0,,5.0,5,yes,e3d01b5c957953c87a79ff0869dbcd98c2323b0b5a0ca1620f2f347ae1aa7fa5
3,Air India,1.0,"""can’t carry more than 15 kg""",2025-04-03,True,"   I spoke to Air India call center before booking my flight as I had Thai airlines booked at 23:30 from Delhi to Sydney. I asked the lady am I allowed 25 kg plus 7 as I have connected international flight with Thai, she put on hold and replied yes you will be allowed 25 kg plus 7. When I reached Chandigarh airport the staff said no u can’t carry more than 15 kg, you can only carry 25 if you have connected international flight through Air India. I had to suffer and I miss my flight, she said you can board the flight without the luggage, which was a joke, I had to reissue my Thai ticket where I had to pay a penalty of $420 plus the fare I spend on this flight.",,,Solo Leisure,Economy Class,Chandigarh to New Delhi,2025-04-01,,,,1.0,,,1,no,a116ba41fc9a766f5da46bfcee3468d97f3072da451bc9350dc01f6a7db32a45
4,Air Transat,2.0,"""insists that my carry-on is too big""",2025-03-31,True,"   I had the most ridiculous experience on my way back from Portugal. We had only brought carry-ons and checked-in online, but to get our boarding passes they made us get in line and go through check-in anyway. When we get to the front a worker insists that my carry-on is too big, even though we took the same plane on the way there and there was no issue!! I tell her ""this makes no sense. We flew with you guys here and it fits in the over head"" so she tells me to weigh it and says it's overweight. It turns out the rules online say the weight requirements are ""light enough that you can lift it without assistance"". So they make me pay 76 EUROs to check it and then I find out the flight was full. I guess they were trying to make room, but instead of asking people to check their carry-on for free like normal, they wanted to ring more cash out of people who booked a flight with just carry on bags. I take 6 trips a year with the same carry on bag and have never experienced this. Will not be flying with them again.",,A330-200,Couple Leisure,Economy Class,Lisbon to Toronto,2025-03-01,2.0,3.0,2.0,1.0,,,2,no,87739dd31255231aa004e32dc06a99a9bfeec53bfa3ac03623af71af06dd4a2b
5,AirSWIFT,1.0,"""Hot and humid the whole flight""",2025-03-30,True,"   They charged me 11,600 for two regular size checked bags.The flight was only 1 hr and 15 minutes and it was a hotbox. Everybody was sweating. Hot and humid the whole flight.",,,Solo Leisure,Economy Class,El nido to Manila,2025-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,8e221c42bf1b1f6333812dac18b3c5ebecc945bddc25228d8dc75ba154bf20d9
6,Akasa Air,4.0,"""way they handle passengers luggage""",2025-04-03,True,"   I am not satisfied with the way they handle passengers luggage. It was very frustrating when received my luggage bag at Mumbai airport with big cracks in it, so here we buy expensive and strong bags just to make sure our things in it remains safe and due to this irresponsible baggage handling policy we have to think twice before we buy such expensive bags again.",,Boeing 737,Family Leisure,Economy Class,Kuwait to Mumbai,2025-02-01,3.0,2.0,,3.0,,,5,yes,96b3fe28635ca09da3d4b54b2a2f6c3ebfe0c6e98c11b4fb233ed83404ec6c21
7,Akasa Air,1.0,"""I do not recommend Akasa Air""",2025-03-30,True,"   I recently traveled with Akasa Air from Bengaluru to Abu Dhabi as part of my Etihad Airways booking. This was one of the worst airline experiences I have ever had due to poorly trained staff, unprofessional behavior, and unfair baggage policies. Harassment at Check-in Over Name Format At the Bengaluru airport, I was held up for 45 minutes because my middle name was part of my last name in my passport (which is a common format in Indian passports). This same name format was used in my UK visa and all my documents, yet Akasa staff acted as if my passport was incorrect and interrogated me unnecessarily. They completely lacked basic knowledge of name formats and international travel documents. I had 2 kg excess baggage, and instead of allowing me to remove or adjust my items, they forced me to pay ₹11,000!  This was completely unreasonable and felt like a scam.  The ground staff was arrogant, unhelpful, and had no sense of customer service. Instead of assisting passengers, they were rude and dismissive. The way they handled my check-in added unnecessary stress to my journey. If you are flying with Etihad Airways, avoid routes that involve Akasa Air—it will completely ruin your travel experience. I do not recommend Akasa Air to anyone who values professionalism, fairness, and stress-free travel.",,,Solo Leisure,Economy Class,Bengaluru to Abu Dhabi,2025-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,ef71f602b1c40a84b80a9b3b5b7dc80f0fcb25067604ab8b4f1b41a774aaa87d
8,Batik Air,1.0,“worth paying more for better service”,2025-03-31,True," Batik Air's airport staff closed the check-in counter earlier than scheduled. When they reopened it, it was already too late to check in. The staff was unhelpful and falsely claimed to have called our names, even though we were present and heard nothing. We had to purchase another ticket to Jakarta because of this. Also, when we were heading to Bangkok, our flight was delayed by almost an hour with no notification or compensation provided. Overall, I wouldn't recommend this airline. It's worth paying more for better service.",,,Solo Leisure,Economy Class,Bangkok to Jakarta ,2025-03-01,1.0,2.0,1.0,1.0,1.0,1.0,2,no,63eaa6c8b11e01bee3175f9085b043d0594a2258166727cca2667bfc3344bbf2
9,Bluebird Airways,1.0,"""do not recommend this airline""",2025-04-01,True,"   Terrible experience with BlueBird Airways! At check-in for flight BZ131 from Rome to Tel Aviv on 23/03/2025, I was forced to pay an additional fee for my trolley, even though it met all carry-on requirements for size and weight, and was paid for with my ticket. The check-in agent didn't measure my luggage, just visually assessed it. This was completely unjustified and caused me financial loss and stress. I will never fly with BlueBird Airways again and do not recommend this airline to anyone.",https://www.airlinequality.com/wp-content/uploads/2025/03/PSX_20250331_234749-500x500.jpg,,Couple Leisure,Economy Class,Rome to Tel Aviv ,2025-03-01,3.0,3.0,1.0,1.0,1.0,1.0,2,no,866662d30d97fbdcc06ff5f38e7ca764e3547c12e4ced280f68b05a986e93096
